Reference, Value, Footprint, Datasheet
IC1,ATTINY85-P,Housings_DIP:DIP-8_W7.62mm,
BT1,Battery,aaevan_footprints:SMD_cr2032_holder,
BT2,Battery,aaevan_footprints:SMD_cr2032_holder,
SW3,SWITCH_INV,Buttons_Switches_SMD:SW_SPDT_PCM12,
C2,22uF,Capacitors_SMD:C_1210_HandSoldering,
C3,.01uF,Capacitors_SMD:C_1206_HandSoldering,
R2,10k,Resistors_SMD:R_1206_HandSoldering,
R4,1k,Resistors_SMD:R_1206_HandSoldering,
R5,10k,Resistors_SMD:R_1206_HandSoldering,
R1,10k,Resistors_SMD:R_1206_HandSoldering,
Q1,Q_NPN_BCE,TO_SOT_Packages_SMD:SOT-23_Handsoldering,
C1,.01uF,Capacitors_SMD:C_1206_HandSoldering,
SP1,SPEAKER,Buzzers_Beepers:MagneticBuzzer_ProSignal_ABT-410-RC,
D1,DIODE,aaevan_footprints:SOD-323_handsoldering,
SW1,SW_PUSH,Buttons_Switches_SMD:SW_SPST_EVPBF,
R3,10k,Resistors_SMD:R_1206_HandSoldering,
RV1,POT,bourns:BOURNS-3362P,
U1,LM335,TO_SOT_Packages_THT:TO-92_Inline_Narrow_Oval,
RV2,POT,bourns:BOURNS-3362P,
SW2,SW_PUSH,Buttons_Switches_SMD:SW_SPST_EVPBF,
R7,10k,Resistors_SMD:R_1206_HandSoldering,
R6,LDR,aaevan_footprints:LDR,
D2,D,aaevan_footprints:SOD-323_handsoldering,
D3,D,aaevan_footprints:SOD-323_handsoldering,
R8,JMP,Resistors_SMD:R_1206_HandSoldering,
